area_id,tot_red_blobs,tot_green_blobs,r_search,assoc_red_blobs,assoc_green_blobs,perc_assoc_red,perc_assoc_green
a3,24,18,0,0,0,0,0
a3,24,18,1,1,1,4.2,5.6
a3,24,18,2,2,2,8.3,11.1
a3,24,18,3,5,5,20.8,27.8
a3,24,18,4,9,10,37.5,55.6
a3,24,18,5,10,11,41.7,61.1
a4,42,80,0,0,0,0,0
a4,42,80,1,4,4,9.5,5
a4,42,80,2,12,12,28.6,15
a4,42,80,3,17,17,40.5,21.3
a4,42,80,4,24,28,57.1,35
a4,42,80,5,27,39,64.3,48.8
a5,16,11,0,0,0,0,0
a5,16,11,1,2,2,12.5,18.2
a5,16,11,2,6,6,37.5,54.5
a5,16,11,3,9,9,56.3,81.8
a5,16,11,4,9,9,56.3,81.8
a5,16,11,5,13,9,81.3,81.8
a6,124,1,0,0,0,0,0
a6,124,1,1,0,0,0,0
a6,124,1,2,0,0,0,0
a6,124,1,3,0,0,0,0
a6,124,1,4,0,0,0,0
a6,124,1,5,0,0,0,0
a7,86,57,0,0,0,0,0
a7,86,57,1,3,3,3.5,5.3
a7,86,57,2,10,10,11.6,17.5
a7,86,57,3,20,20,23.3,35.1
a7,86,57,4,27,28,31.4,49.1
a7,86,57,5,35,39,40.7,68.4
a8,20,55,0,0,0,0,0
a8,20,55,1,1,1,5,1.8
a8,20,55,2,4,5,20,9.1
a8,20,55,3,9,10,45,18.2
a8,20,55,4,10,14,50,25.5
a8,20,55,5,12,20,60,36.4
a9,87,93,0,0,0,0,0
a9,87,93,1,9,9,10.3,9.7
a9,87,93,2,23,23,26.4,24.7
a9,87,93,3,38,38,43.7,40.9
a9,87,93,4,51,54,58.6,58.1
a9,87,93,5,63,70,72.4,75.3
a10,143,135,0,0,0,0,0
a10,143,135,1,9,9,6.3,6.7
a10,143,135,2,32,32,22.4,23.7
a10,143,135,3,66,68,46.2,50.4
a10,143,135,4,91,93,63.6,68.9
a10,143,135,5,109,111,76.2,82.2
a11,85,104,0,0,0,0,0
a11,85,104,1,4,4,4.7,3.8
a11,85,104,2,14,14,16.5,13.5
a11,85,104,3,23,24,27.1,23.1
a11,85,104,4,37,35,43.5,33.7
a11,85,104,5,51,52,60,50
