area_id,tot_red_blobs,tot_green_blobs,r_search,assoc_red_blobs,assoc_green_blobs,perc_assoc_red,perc_assoc_green
a2,36,39,0,0,0,0,0
a2,36,39,1,0,0,0,0
a2,36,39,2,7,7,19.4,17.9
a2,36,39,3,13,13,36.1,33.3
a2,36,39,4,15,15,41.7,38.5
a2,36,39,5,19,25,52.8,64.1
a3,29,46,0,0,0,0,0
a3,29,46,1,0,0,0,0
a3,29,46,2,2,2,6.9,4.3
a3,29,46,3,6,6,20.7,13
a3,29,46,4,7,9,24.1,19.6
a3,29,46,5,10,14,34.5,30.4
a6,51,63,0,0,0,0,0
a6,51,63,1,0,0,0,0
a6,51,63,2,7,7,13.7,11.1
a6,51,63,3,12,13,23.5,20.6
a6,51,63,4,18,19,35.3,30.2
a6,51,63,5,28,29,54.9,46
a8,38,19,0,0,0,0,0
a8,38,19,1,0,0,0,0
a8,38,19,2,0,0,0,0
a8,38,19,3,0,0,0,0
a8,38,19,4,1,1,2.6,5.3
a8,38,19,5,2,3,5.3,15.8
a9,49,22,0,0,0,0,0
a9,49,22,1,0,0,0,0
a9,49,22,2,1,1,2,4.5
a9,49,22,3,1,1,2,4.5
a9,49,22,4,1,1,2,4.5
a9,49,22,5,2,2,4.1,9.1
a10,46,112,0,0,0,0,0
a10,46,112,1,0,0,0,0
a10,46,112,2,6,6,13,5.4
a10,46,112,3,10,10,21.7,8.9
a10,46,112,4,12,14,26.1,12.5
a10,46,112,5,15,21,32.6,18.8
a12,19,29,0,0,0,0,0
a12,19,29,1,1,1,5.3,3.4
a12,19,29,2,2,2,10.5,6.9
a12,19,29,3,5,4,26.3,13.8
a12,19,29,4,8,5,42.1,17.2
a12,19,29,5,10,7,52.6,24.1
a14,49,39,0,0,0,0,0
a14,49,39,1,2,2,4.1,5.1
a14,49,39,2,6,6,12.2,15.4
a14,49,39,3,10,12,20.4,30.8
a14,49,39,4,14,15,28.6,38.5
a14,49,39,5,19,17,38.8,43.6
a15,80,1,0,0,0,0,0
a15,80,1,1,0,0,0,0
a15,80,1,2,0,0,0,0
a15,80,1,3,0,0,0,0
a15,80,1,4,0,0,0,0
a15,80,1,5,2,1,2.5,100
