area_id,tot_red_blobs,tot_green_blobs,r_search,assoc_red_blobs,assoc_green_blobs,perc_assoc_red,perc_assoc_green
a1,306,350,0,0,0,0,0
a1,306,350,1,138,138,45.1,39.4
a1,306,350,2,169,169,55.2,48.3
a1,306,350,3,183,183,59.8,52.3
a1,306,350,4,192,198,62.7,56.6
a1,306,350,5,213,224,69.6,64
a2,192,113,0,0,0,0,0
a2,192,113,1,69,69,35.9,61.1
a2,192,113,2,99,99,51.6,87.6
a2,192,113,3,106,107,55.2,94.7
a2,192,113,4,110,109,57.3,96.5
a2,192,113,5,126,111,65.6,98.2
a3,273,176,0,0,0,0,0
a3,273,176,1,132,132,48.4,75
a3,273,176,2,151,151,55.3,85.8
a3,273,176,3,162,157,59.3,89.2
a3,273,176,4,167,160,61.2,90.9
a3,273,176,5,181,163,66.3,92.6
a4,391,250,0,0,0,0,0
a4,391,250,1,200,200,51.2,80
a4,391,250,2,224,223,57.3,89.2
a4,391,250,3,232,234,59.3,93.6
a4,391,250,4,257,243,65.7,97.2
a4,391,250,5,279,246,71.4,98.4
a5,405,187,0,0,0,0,0
a5,405,187,1,138,138,34.1,73.8
a5,405,187,2,170,170,42,90.9
a5,405,187,3,183,181,45.2,96.8
a5,405,187,4,189,183,46.7,97.9
a5,405,187,5,214,185,52.8,98.9
