area_id,tot_red_blobs,tot_green_blobs,r_search,assoc_red_blobs,assoc_green_blobs,perc_assoc_red,perc_assoc_green
a1,18,449,0,0,0,0,0
a1,18,449,1,1,1,5.6,0.2
a1,18,449,2,3,3,16.7,0.7
a1,18,449,3,6,7,33.3,1.6
a1,18,449,4,12,16,66.7,3.6
a1,18,449,5,13,19,72.2,4.2
a4,63,239,0,0,0,0,0
a4,63,239,1,1,1,1.6,0.4
a4,63,239,2,1,1,1.6,0.4
a4,63,239,3,16,16,25.4,6.7
a4,63,239,4,34,38,54,15.9
a4,63,239,5,43,56,68.3,23.4
a5,88,101,0,0,0,0,0
a5,88,101,1,4,4,4.5,4
a5,88,101,2,9,9,10.2,8.9
a5,88,101,3,21,21,23.9,20.8
a5,88,101,4,39,41,44.3,40.6
a5,88,101,5,50,58,56.8,57.4
