area_id,tot_red_blobs,tot_green_blobs,r_search,assoc_red_blobs,assoc_green_blobs,perc_assoc_red,perc_assoc_green
a2,91,64,0,0,0,0,0
a2,91,64,1,1,1,1.1,1.6
a2,91,64,2,6,6,6.6,9.4
a2,91,64,3,8,8,8.8,12.5
a2,91,64,4,15,18,16.5,28.1
a2,91,64,5,26,28,28.6,43.8
a3,22,27,0,0,0,0,0
a3,22,27,1,0,0,0,0
a3,22,27,2,0,0,0,0
a3,22,27,3,1,1,4.5,3.7
a3,22,27,4,1,1,4.5,3.7
a3,22,27,5,2,2,9.1,7.4
a4,7,134,0,0,0,0,0
a4,7,134,1,0,0,0,0
a4,7,134,2,1,1,14.3,0.7
a4,7,134,3,2,2,28.6,1.5
a4,7,134,4,2,2,28.6,1.5
a4,7,134,5,3,3,42.9,2.2
a5,40,59,0,0,0,0,0
a5,40,59,1,0,0,0,0
a5,40,59,2,1,1,2.5,1.7
a5,40,59,3,3,3,7.5,5.1
a5,40,59,4,7,7,17.5,11.9
a5,40,59,5,9,9,22.5,15.3
a6,60,85,0,0,0,0,0
a6,60,85,1,0,0,0,0
a6,60,85,2,1,1,1.7,1.2
a6,60,85,3,2,2,3.3,2.4
a6,60,85,4,9,9,15,10.6
a6,60,85,5,13,14,21.7,16.5
a7,31,136,0,0,0,0,0
a7,31,136,1,0,0,0,0
a7,31,136,2,1,1,3.2,0.7
a7,31,136,3,3,3,9.7,2.2
a7,31,136,4,10,12,32.3,8.8
a7,31,136,5,11,16,35.5,11.8
a8,38,83,0,0,0,0,0
a8,38,83,1,7,7,18.4,8.4
a8,38,83,2,9,9,23.7,10.8
a8,38,83,3,12,12,31.6,14.5
a8,38,83,4,20,19,52.6,22.9
a8,38,83,5,26,24,68.4,28.9
a9,91,129,0,0,0,0,0
a9,91,129,1,3,3,3.3,2.3
a9,91,129,2,12,12,13.2,9.3
a9,91,129,3,23,23,25.3,17.8
a9,91,129,4,34,40,37.4,31
a9,91,129,5,44,52,48.4,40.3
a10,8,48,0,0,0,0,0
a10,8,48,1,2,2,25,4.2
a10,8,48,2,2,2,25,4.2
a10,8,48,3,2,2,25,4.2
a10,8,48,4,2,2,25,4.2
a10,8,48,5,3,3,37.5,6.3
a11,86,298,0,0,0,0,0
a11,86,298,1,7,7,8.1,2.3
a11,86,298,2,23,23,26.7,7.7
a11,86,298,3,48,49,55.8,16.4
a11,86,298,4,65,68,75.6,22.8
a11,86,298,5,71,91,82.6,30.5
a12,44,74,0,0,0,0,0
a12,44,74,1,0,0,0,0
a12,44,74,2,2,2,4.5,2.7
a12,44,74,3,6,7,13.6,9.5
a12,44,74,4,11,11,25,14.9
a12,44,74,5,15,15,34.1,20.3
a13,25,87,0,0,0,0,0
a13,25,87,1,0,0,0,0
a13,25,87,2,2,2,8,2.3
a13,25,87,3,3,3,12,3.4
a13,25,87,4,7,8,28,9.2
a13,25,87,5,8,9,32,10.3
