area_id,tot_red_blobs,tot_green_blobs,r_search,assoc_red_blobs,assoc_green_blobs,perc_assoc_red,perc_assoc_green
a1,13,43,0,0,0,0,0
a1,13,43,1,0,0,0,0
a1,13,43,2,1,1,7.7,2.3
a1,13,43,3,3,3,23.1,7
a1,13,43,4,5,6,38.5,14
a1,13,43,5,10,12,76.9,27.9
a2,44,13,0,0,0,0,0
a2,44,13,1,0,0,0,0
a2,44,13,2,0,0,0,0
a2,44,13,3,1,1,2.3,7.7
a2,44,13,4,1,1,2.3,7.7
a2,44,13,5,2,2,4.5,15.4
a4,61,16,0,0,0,0,0
a4,61,16,1,0,0,0,0
a4,61,16,2,0,0,0,0
a4,61,16,3,1,1,1.6,6.3
a4,61,16,4,3,3,4.9,18.8
a4,61,16,5,3,3,4.9,18.8
a5,25,4,0,0,0,0,0
a5,25,4,1,0,0,0,0
a5,25,4,2,0,0,0,0
a5,25,4,3,0,0,0,0
a5,25,4,4,0,0,0,0
a5,25,4,5,0,0,0,0
a7,14,46,0,0,0,0,0
a7,14,46,1,1,1,7.1,2.2
a7,14,46,2,1,1,7.1,2.2
a7,14,46,3,1,1,7.1,2.2
a7,14,46,4,2,2,14.3,4.3
a7,14,46,5,5,8,35.7,17.4
a8,9,76,0,0,0,0,0
a8,9,76,1,0,0,0,0
a8,9,76,2,0,0,0,0
a8,9,76,3,1,1,11.1,1.3
a8,9,76,4,4,4,44.4,5.3
a8,9,76,5,4,4,44.4,5.3
a10,45,153,0,0,0,0,0
a10,45,153,1,2,2,4.4,1.3
a10,45,153,2,8,8,17.8,5.2
a10,45,153,3,16,17,35.6,11.1
a10,45,153,4,23,24,51.1,15.7
a10,45,153,5,30,35,66.7,22.9
a11,82,55,0,0,0,0,0
a11,82,55,1,0,0,0,0
a11,82,55,2,0,0,0,0
a11,82,55,3,3,3,3.7,5.5
a11,82,55,4,8,8,9.8,14.5
a11,82,55,5,13,13,15.9,23.6
