area_id,tot_red_blobs,tot_green_blobs,r_search,assoc_red_blobs,assoc_green_blobs,perc_assoc_red,perc_assoc_green
a1,27,106,0,0,0,0,0
a1,27,106,1,0,0,0,0
a1,27,106,2,3,3,11.1,2.8
a1,27,106,3,4,4,14.8,3.8
a1,27,106,4,7,8,25.9,7.5
a1,27,106,5,9,10,33.3,9.4
a2,62,97,0,0,0,0,0
a2,62,97,1,3,3,4.8,3.1
a2,62,97,2,10,10,16.1,10.3
a2,62,97,3,13,13,21,13.4
a2,62,97,4,18,17,29,17.5
a2,62,97,5,21,22,33.9,22.7
a3,48,264,0,0,0,0,0
a3,48,264,1,4,4,8.3,1.5
a3,48,264,2,8,8,16.7,3
a3,48,264,3,21,21,43.8,8
a3,48,264,4,27,30,56.3,11.4
a3,48,264,5,33,38,68.8,14.4
a4,23,91,0,0,0,0,0
a4,23,91,1,0,0,0,0
a4,23,91,2,1,1,4.3,1.1
a4,23,91,3,3,4,13,4.4
a4,23,91,4,3,4,13,4.4
a4,23,91,5,7,7,30.4,7.7
a6,12,50,0,0,0,0,0
a6,12,50,1,0,0,0,0
a6,12,50,2,0,0,0,0
a6,12,50,3,2,2,16.7,4
a6,12,50,4,3,3,25,6
a6,12,50,5,3,4,25,8
a7,19,27,0,0,0,0,0
a7,19,27,1,2,2,10.5,7.4
a7,19,27,2,2,2,10.5,7.4
a7,19,27,3,3,3,15.8,11.1
a7,19,27,4,4,4,21.1,14.8
a7,19,27,5,4,4,21.1,14.8
a8,137,201,0,0,0,0,0
a8,137,201,1,14,14,10.2,7
a8,137,201,2,38,38,27.7,18.9
a8,137,201,3,58,57,42.3,28.4
a8,137,201,4,74,79,54,39.3
a8,137,201,5,85,102,62,50.7
a9,25,150,0,0,0,0,0
a9,25,150,1,2,2,8,1.3
a9,25,150,2,4,4,16,2.7
a9,25,150,3,5,6,20,4
a9,25,150,4,5,6,20,4
a9,25,150,5,7,8,28,5.3
