x,value
0,267
0.01,268
0.02,268
0.03,269.0714
0.04,268.0952
0.05,270.881
0.06,269.1429
0.07,270
0.08,265.5714
0.09,269.5714
0.1,271.5714
0.11,271.2143
0.12,269.7143
0.13,271.0714
0.14,270.6667
0.15,270.9286
0.16,270.4762
0.17,270.619
0.18,270.4286
0.19,272.0952
0.2,283.619
0.21,296.5
0.22,287.3333
0.23,272.3571
0.24,273
0.25,271.381
0.26,268
0.27,270.2857
0.28,269
0.29,271.4524
0.3,270.5714
0.31,270.9524
0.32,267.7619
0.33,268.2143
0.34,268.381
0.35,267
0.36,267.2857
0.37,269.119
0.38,269.8095
0.39,267.1429
0.4,267.0952
0.41,270
0.42,268
