x,value
0,797
0.01,796.167
0.02,815.81
0.03,816.714
0.04,854.429
0.05,846.452
0.06,863.571
0.07,887.333
0.08,918.476
0.09,921.643
0.1,924.476
0.11,938.857
0.12,961.286
0.13,978.667
0.14,1044.667
0.15,1064.143
0.16,1123.286
0.17,1200.119
0.18,1324.714
0.19,1468.119
0.2,1617.667
0.21,1880.5
0.22,2206.952
0.23,2589.333
0.24,3538.572
0.25,6248.429
0.26,11055.857
0.27,15060.5
0.28,14627
0.29,10534.643
0.3,6533.143
0.31,4665.833
0.32,4615.762
0.33,4980.357
0.34,4574.571
0.35,3492
0.36,2988.286
0.37,2912.738
0.38,2590.19
0.39,2393.214
0.4,2458.762
0.41,2634.81
0.42,2901
